"","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"1","01/01/2021",1,0.62,3,4,36,39,7
"2","01/01/2021",2,0.7,3,11,38,49,4
"3","01/01/2021",3,0.95,2,20,40,60,1
"4","01/01/2021",4,0.98,2,28,38,66,2
"5","01/01/2021",5,0.91,2,11,35,46,4
"6","01/01/2021",6,0.71,1,9,31,40,3
"7","01/01/2021",7,0.61,1,6,28,33,6
"8","01/01/2021",8,0.51,1,10,27,37,6
"9","01/01/2021",9,0.43,1,12,23,35,15
"10","01/01/2021",10,0.28,2,5,15,19,33
"11","01/01/2021",11,0.17,1,3,12,15,46
"12","01/01/2021",12,0.19,1,2,12,14,57
"13","01/01/2021",13,0.21,1,1,12,13,71
"14","01/01/2021",14,0.11,1,1,8,9,64
"15","01/01/2021",15,0.07,1,1,7,8,57
"16","01/01/2021",16,0.04,1,1,6,7,49
"17","01/01/2021",17,0.01,1,1,4,5,45
"18","01/01/2021",18,0,1,0,5,5,43
"19","01/01/2021",19,0.14,1,0,16,17,33
"20","01/01/2021",20,0.28,1,1,25,26,34
"21","01/01/2021",21,0.43,1,3,34,37,25
"22","01/01/2021",22,0.57,1,8,38,46,14
"23","01/01/2021",23,0.82,2,24,48,73,2
"28","02/01/2021",4,0.35,1,3,31,34,11
"29","02/01/2021",5,0.24,1,0,20,20,20
"30","02/01/2021",6,0.37,1,12,32,44,7
"31","02/01/2021",7,0.52,1,26,34,60,1
"32","02/01/2021",8,0.72,1,52,35,88,2
"33","02/01/2021",9,0.58,2,22,34,56,15
"34","02/01/2021",10,0.6,3,24,38,62,21
"35","02/01/2021",11,0.6,2,19,40,59,32
"36","02/01/2021",12,0.44,2,10,33,43,51
"37","02/01/2021",13,0.42,3,14,38,52,43
"38","02/01/2021",14,0.29,2,6,23,29,54
"39","02/01/2021",15,0.36,1,3,23,26,72
"40","02/01/2021",16,0.36,1,2,22,24,79
"41","02/01/2021",17,0.33,1,1,22,23,88
"42","02/01/2021",18,0.44,1,1,29,30,63
"43","02/01/2021",19,0.66,2,6,47,54,31
"44","02/01/2021",20,0.54,1,6,41,47,28
"45","02/01/2021",21,0.27,1,2,22,24,33
"46","02/01/2021",22,0.32,1,1,24,26,30
"47","02/01/2021",23,0.48,1,9,31,40,21
"48","02/01/2021",24,0.78,3,25,47,72,5
"49","03/01/2021",1,0.64,2,10,45,55,5
"50","03/01/2021",2,0.5,1,8,40,48,11
"51","03/01/2021",3,0.64,1,19,44,63,4
"52","03/01/2021",4,0.69,2,29,46,75,1
"53","03/01/2021",5,0.64,1,21,44,65,2
"54","03/01/2021",6,0.59,2,19,42,61,3
"55","03/01/2021",7,1.09,2,73,44,117,1
"56","03/01/2021",8,1.28,3,95,44,139,1
"57","03/01/2021",9,1.65,5,123,47,170,3
"58","03/01/2021",10,0.83,3,34,45,78,18
"59","03/01/2021",11,0.44,2,10,29,39,39
"60","03/01/2021",12,0.37,1,6,24,31,50
"61","03/01/2021",13,0.34,1,4,20,24,62
"62","03/01/2021",14,0.28,1,2,18,20,71
"63","03/01/2021",15,0.2,1,2,13,15,65
"64","03/01/2021",16,0,1,1,7,8,44
"65","03/01/2021",17,0.01,1,1,7,8,50
"66","03/01/2021",18,0.05,1,1,9,10,41
"67","03/01/2021",19,0.14,1,2,16,18,33
"68","03/01/2021",20,0.21,1,2,22,25,24
"69","03/01/2021",21,0.16,1,1,16,18,27
"70","03/01/2021",22,0.37,2,5,32,37,13
"71","03/01/2021",23,0.38,4,6,39,45,14
"72","03/01/2021",24,0.3,3,2,32,34,21
"73","04/01/2021",1,0.37,2,8,42,50,8
"74","04/01/2021",2,0.5,3,23,47,70,5
"75","04/01/2021",3,0.36,3,42,47,88,6
"76","04/01/2021",4,0.35,2,26,45,71,5
"77","04/01/2021",5,0.68,3,89,49,138,2
"78","04/01/2021",6,0.96,4,144,49,192,1
"79","04/01/2021",7,1.01,3,100,45,146,1
"80","04/01/2021",8,1.37,5,151,47,197,1
"81","04/01/2021",9,1.26,5,100,47,147,4
"82","04/01/2021",10,0.9,4,45,48,94,12
"83","04/01/2021",11,1.12,4,39,67,106,22
"84","04/01/2021",12,0.78,5,21,56,77,41
"85","04/01/2021",13,0.57,4,10,47,57,57
"86","04/01/2021",14,0.58,4,7,45,52,69
"87","04/01/2021",15,0.51,4,4,37,41,79
"88","04/01/2021",16,0.39,4,2,30,32,89
"89","04/01/2021",17,0.42,4,1,29,30,91
"90","04/01/2021",18,0.55,4,2,50,52,69
"91","04/01/2021",19,0.65,4,2,56,58,50
"92","04/01/2021",20,0.63,16,8,55,63,27
"93","04/01/2021",21,0.55,24,6,53,59,19
"94","04/01/2021",22,0.39,11,1,35,36,24
"95","04/01/2021",23,0.25,8,1,26,27,29
"96","04/01/2021",24,0.16,5,1,20,21,31
"97","05/01/2021",1,0.14,4,1,19,20,30
"98","05/01/2021",2,0.09,4,1,17,17,34
"99","05/01/2021",3,0.05,3,1,17,18,36
"100","05/01/2021",4,0.09,3,21,40,61,10
"101","05/01/2021",5,0.36,2,46,44,90,3
"102","05/01/2021",6,0.63,2,11,41,52,6
"103","05/01/2021",7,0.54,2,24,45,70,2
"104","05/01/2021",8,1.35,4,168,48,216,1
"105","05/01/2021",9,1.44,7,123,50,173,3
"106","05/01/2021",10,1.18,9,71,59,130,9
"107","05/01/2021",11,1.12,12,43,68,111,20
"108","05/01/2021",12,0.95,9,24,67,92,38
"109","05/01/2021",13,0.56,8,10,40,50,55
"110","05/01/2021",14,0.33,6,3,24,27,71
"111","05/01/2021",15,0.38,5,2,23,25,84
"112","05/01/2021",16,0.43,5,2,26,27,92
"113","05/01/2021",17,0.35,4,1,22,22,85
"114","05/01/2021",18,0.29,4,1,23,24,65
"115","05/01/2021",19,0.33,2,2,31,33,23
"116","05/01/2021",20,0.4,2,5,39,44,14
"117","05/01/2021",21,0.27,2,5,30,35,21
"118","05/01/2021",22,0.21,13,3,25,27,31
"119","05/01/2021",23,0.48,36,8,44,52,13
"120","05/01/2021",24,0.6,11,20,47,67,3
"121","06/01/2021",1,0.48,3,11,40,51,4
"122","06/01/2021",2,0.35,5,18,39,57,5
"123","06/01/2021",3,0.37,4,20,40,60,1
"124","06/01/2021",4,0.65,4,93,42,134,0
"125","06/01/2021",5,0.57,3,48,40,89,1
"126","06/01/2021",6,1.14,3,118,42,160,1
"127","06/01/2021",7,1.34,5,214,42,256,1
"128","06/01/2021",8,1.36,6,183,42,226,1
"129","06/01/2021",9,1.06,6,64,45,109,4
"130","06/01/2021",10,1.26,9,61,70,131,13
"131","06/01/2021",11,1.36,7,49,86,135,21
"132","06/01/2021",12,0.53,4,13,40,53,41
"133","06/01/2021",13,0.45,3,7,34,41,52
"134","06/01/2021",14,0.42,3,5,34,39,57
"135","06/01/2021",15,0.16,2,2,16,18,55
"136","06/01/2021",16,0.07,1,1,10,11,56
"137","06/01/2021",17,0.06,1,1,11,12,53
"138","06/01/2021",18,0.14,2,1,19,20,47
"139","06/01/2021",19,0.11,1,1,17,19,31
"140","06/01/2021",20,0.13,1,2,17,20,21
"141","06/01/2021",21,0.06,1,1,12,14,24
"142","06/01/2021",22,0.07,1,2,15,17,21
"143","06/01/2021",23,0.12,2,4,20,24,15
"144","06/01/2021",24,0.24,2,13,28,41,6
"145","07/01/2021",1,0.37,2,22,34,56,3
"146","07/01/2021",2,0.23,2,4,28,32,9
"147","07/01/2021",3,0.38,2,55,37,92,1
"148","07/01/2021",4,0.26,2,37,32,68,4
"149","07/01/2021",5,0.06,2,4,17,21,16
"150","07/01/2021",6,0.18,2,9,24,34,12
"151","07/01/2021",7,0.24,7,10,26,36,10
"152","07/01/2021",8,0.36,8,24,32,57,5
"153","07/01/2021",9,0.37,11,17,31,48,10
"154","07/01/2021",10,0.36,11,15,29,44,19
"155","07/01/2021",11,0.44,12,18,32,51,23
"156","07/01/2021",12,0.45,12,15,34,48,29
"157","07/01/2021",13,0.42,13,9,33,43,42
"158","07/01/2021",14,0.48,8,6,35,41,54
"159","07/01/2021",15,0.57,7,4,37,41,64
"160","07/01/2021",16,0.43,5,3,24,26,67
"161","07/01/2021",17,0.37,4,1,25,26,73
"162","07/01/2021",18,0.45,4,1,31,32,57
"163","07/01/2021",19,0.32,2,3,31,34,30
"164","07/01/2021",20,0.26,2,2,23,25,29
"165","07/01/2021",21,0.29,62,3,30,32,30
"166","07/01/2021",22,0.3,67,3,29,32,27
"167","07/01/2021",23,0.27,44,5,29,34,22
"172","08/01/2021",4,0.35,7,35,38,73,2
"173","08/01/2021",5,0.43,6,70,40,110,0
"174","08/01/2021",6,0.78,5,101,38,139,1
"175","08/01/2021",7,1.09,5,139,42,181,1
"176","08/01/2021",8,1.08,5,109,41,150,1
"177","08/01/2021",9,1.61,10,162,47,209,2
"178","08/01/2021",10,0.89,8,47,47,94,11
"179","08/01/2021",11,0.65,11,22,45,68,26
"180","08/01/2021",12,0.37,7,10,29,38,44
"181","08/01/2021",13,0.19,4,4,17,20,54
"182","08/01/2021",14,0.23,4,3,18,21,69
"183","08/01/2021",15,0.31,4,2,22,24,79
"184","08/01/2021",16,0.3,3,1,21,22,87
"185","08/01/2021",17,0.33,4,2,26,29,59
"186","08/01/2021",18,0.27,2,2,26,28,42
"187","08/01/2021",19,0.27,2,2,27,29,38
"188","08/01/2021",20,0.24,2,2,22,24,44
"189","08/01/2021",21,0.17,2,2,20,22,27
"190","08/01/2021",22,0.37,3,5,36,41,16
"191","08/01/2021",23,0.41,3,3,38,41,18
"192","08/01/2021",24,0.37,3,3,34,36,17
"193","09/01/2021",1,0.37,2,11,36,47,8
"194","09/01/2021",2,0.34,2,7,29,36,5
"195","09/01/2021",3,0.47,2,88,34,122,0
"196","09/01/2021",4,0.54,3,108,36,144,1
"197","09/01/2021",5,0.35,2,17,31,48,3
"198","09/01/2021",6,0.39,1,9,30,39,4
"199","09/01/2021",7,1.05,2,96,37,134,1
"200","09/01/2021",8,1.47,4,161,36,197,1
"201","09/01/2021",9,1.36,6,102,41,143,3
"202","09/01/2021",10,1.05,4,69,52,122,8
"203","09/01/2021",11,0.93,3,26,62,87,29
"204","09/01/2021",12,0.63,3,15,45,60,42
"205","09/01/2021",13,0.31,2,5,23,28,55
"206","09/01/2021",14,0.26,2,2,18,20,63
"207","09/01/2021",15,0.14,1,2,14,16,52
"208","09/01/2021",16,0.13,1,2,11,13,46
"209","09/01/2021",17,0.05,1,1,9,10,38
"210","09/01/2021",18,0.1,1,3,14,17,30
"211","09/01/2021",19,0.21,1,2,22,24,21
"212","09/01/2021",20,0.34,1,6,27,33,12
"213","09/01/2021",21,0.72,1,22,35,58,3
"214","09/01/2021",22,0.8,2,38,37,75,1
"215","09/01/2021",23,0.76,2,24,34,57,4
"216","09/01/2021",24,0.53,2,23,31,54,5
"217","10/01/2021",1,0.26,1,5,22,26,9
"218","10/01/2021",2,0.36,1,12,28,41,3
"219","10/01/2021",3,0.4,1,31,31,61,1
"220","10/01/2021",4,0.31,1,20,30,50,2
"221","10/01/2021",5,0.38,1,19,30,50,1
"222","10/01/2021",6,0.31,1,11,27,38,4
"223","10/01/2021",7,0.16,1,5,18,23,9
"224","10/01/2021",8,0.55,2,34,27,61,1
"225","10/01/2021",9,0.6,2,36,29,65,3
"226","10/01/2021",10,0.71,3,38,35,73,8
"227","10/01/2021",11,0.29,2,11,20,31,24
"228","10/01/2021",12,0.11,1,5,10,15,33
"229","10/01/2021",13,0,1,2,6,7,40
"230","10/01/2021",14,0,1,1,5,6,41
"231","10/01/2021",15,0.02,1,2,7,8,40
"232","10/01/2021",16,0.02,1,1,6,8,38
"233","10/01/2021",17,0.02,1,1,7,8,38
"234","10/01/2021",18,0.06,1,1,9,11,35
"235","10/01/2021",19,0.14,1,2,15,18,27
"236","10/01/2021",20,0.13,1,2,16,18,22
"237","10/01/2021",21,0.15,1,3,20,22,16
"238","10/01/2021",22,0.42,1,17,31,47,5
"239","10/01/2021",23,0.57,1,32,34,66,2
"240","10/01/2021",24,0.75,2,53,35,88,1
"241","11/01/2021",1,0.34,1,14,29,43,4
"242","11/01/2021",2,0.15,1,9,23,31,10
"243","11/01/2021",3,0.07,1,5,20,24,12
"244","11/01/2021",4,0.08,3,5,17,22,14
"245","11/01/2021",5,0.09,4,7,17,24,13
"246","11/01/2021",6,0.24,7,11,22,34,10
"247","11/01/2021",7,0.6,6,49,34,83,1
"248","11/01/2021",8,0.82,7,76,32,108,1
"249","11/01/2021",9,1.13,8,108,34,142,2
"250","11/01/2021",10,0.49,13,32,29,61,9
"251","11/01/2021",11,0.51,11,24,33,57,11
"252","11/01/2021",12,0.64,10,27,37,65,18
"253","11/01/2021",13,0.56,5,15,34,49,23
"254","11/01/2021",14,0.16,1,5,10,16,29
"255","11/01/2021",15,0.18,1,6,12,18,28
"256","11/01/2021",16,0.15,1,6,11,18,28
"257","11/01/2021",17,0.13,1,6,12,18,27
"258","11/01/2021",18,0.09,1,3,12,16,26
"259","11/01/2021",19,0.25,1,11,26,38,11
"260","11/01/2021",20,0.38,1,9,31,40,7
"261","11/01/2021",21,0.39,1,10,31,41,6
"262","11/01/2021",22,0.34,1,8,28,35,11
"263","11/01/2021",23,0.55,2,23,35,58,3
"264","11/01/2021",24,0.4,2,20,34,53,3
"265","12/01/2021",1,0.44,2,21,36,57,0
"266","12/01/2021",2,0.36,2,14,35,49,0
"267","12/01/2021",3,0.34,2,25,34,58,1
"268","12/01/2021",4,0.34,2,39,33,72,0
"269","12/01/2021",5,0.55,2,64,36,100,0
"270","12/01/2021",6,1.27,3,149,38,188,0
"271","12/01/2021",7,0.81,3,96,35,131,1
"272","12/01/2021",8,1.44,4,181,32,213,0
"273","12/01/2021",9,0.9,3,63,32,95,3
"274","12/01/2021",10,0.54,2,29,28,56,12
"275","12/01/2021",11,0.21,1,9,15,24,26
"276","12/01/2021",12,0.15,1,5,12,17,35
"277","12/01/2021",13,0.17,1,5,14,19,40
"278","12/01/2021",14,0.15,1,4,13,16,44
"279","12/01/2021",15,0.21,1,3,15,18,48
"280","12/01/2021",16,0.09,1,3,10,13,37
"281","12/01/2021",17,0,1,2,7,9,34
"282","12/01/2021",18,0.03,1,2,11,14,28
"283","12/01/2021",19,0.18,1,4,20,24,19
"284","12/01/2021",20,0.42,1,14,33,48,7
"285","12/01/2021",21,0.42,1,9,33,42,8
"286","12/01/2021",22,0.44,1,6,35,41,10
"287","12/01/2021",23,0.45,1,12,37,49,8
"288","12/01/2021",24,0.49,1,20,41,61,3
"289","13/01/2021",1,0.47,2,21,39,60,2
"290","13/01/2021",2,0.53,2,57,40,97,1
"291","13/01/2021",3,0.35,2,33,38,71,2
"292","13/01/2021",4,0.38,1,23,35,58,1
"293","13/01/2021",5,0.49,1,32,33,65,1
"294","13/01/2021",6,1.25,3,124,41,164,1
"295","13/01/2021",7,1.21,4,162,34,195,1
"296","13/01/2021",8,0.96,3,120,30,150,1
"297","13/01/2021",9,0.5,4,46,29,75,4
"298","13/01/2021",10,0.63,9,51,39,90,9
"299","13/01/2021",11,0.69,9,41,47,88,16
"300","13/01/2021",12,0.81,6,22,58,80,32
"301","13/01/2021",13,0.65,5,14,46,60,45
"302","13/01/2021",14,0.5,3,6,38,44,58
"303","13/01/2021",15,0.51,3,2,39,41,54
"304","13/01/2021",16,0.43,3,3,32,36,58
"305","13/01/2021",17,0.47,3,2,39,41,54
"306","13/01/2021",18,0.57,2,2,45,47,47
"307","13/01/2021",19,0.7,1,3,51,54,31
"308","13/01/2021",20,0.66,1,3,44,47,23
"317","14/01/2021",5,0.37,4,18,28,45,1
"318","14/01/2021",6,0.49,4,19,30,49,0
"319","14/01/2021",7,1.04,5,139,33,173,0
"320","14/01/2021",8,1.02,5,98,35,134,0
"321","14/01/2021",9,1.04,7,88,40,128,2
"322","14/01/2021",10,1.06,11,67,53,119,7
"323","14/01/2021",11,0.86,8,36,51,87,16
"324","14/01/2021",12,0.54,5,16,36,52,31
"325","14/01/2021",13,0.11,3,4,11,15,33
"326","14/01/2021",14,0,1,2,7,9,32
"327","14/01/2021",15,0,2,3,8,11,33
"328","14/01/2021",16,0.03,1,2,8,10,33
"329","14/01/2021",17,0.04,1,2,10,13,30
"330","14/01/2021",18,0.09,1,3,13,15,24
"331","14/01/2021",19,0.15,1,4,15,18,18
"332","14/01/2021",20,0.2,2,6,19,25,12
"333","14/01/2021",21,0.35,6,16,37,52,2
"334","14/01/2021",22,0.53,3,26,39,65,1
"335","14/01/2021",23,0.68,6,33,38,72,1
"336","14/01/2021",24,0.62,14,22,39,61,0
"337","15/01/2021",1,0.46,12,12,36,48,1
"338","15/01/2021",2,0.39,10,20,33,53,1
"339","15/01/2021",3,0.42,9,61,33,94,1
"340","15/01/2021",4,0.43,7,56,31,88,1
"341","15/01/2021",5,0.46,6,61,31,91,0
"342","15/01/2021",6,1.2,6,104,39,143,1
"343","15/01/2021",7,1.17,7,133,36,169,1
"344","15/01/2021",8,0.98,8,127,33,159,1
"345","15/01/2021",9,1.54,12,188,39,227,1
"346","15/01/2021",10,0.82,11,72,42,114,5
"347","15/01/2021",11,1.25,11,60,69,129,13
"348","15/01/2021",12,0.69,13,22,49,71,28
"349","15/01/2021",13,0.63,11,14,51,65,44
"350","15/01/2021",14,0.69,10,8,52,61,63
"351","15/01/2021",15,0.68,9,5,50,55,75
"352","15/01/2021",16,0.71,9,3,46,48,73
"353","15/01/2021",17,0.57,7,2,36,38,61
"354","15/01/2021",18,0.55,8,2,41,43,50
"355","15/01/2021",19,0.49,5,2,44,46,38
"356","15/01/2021",20,0.55,4,5,42,47,22
"357","15/01/2021",21,0.44,16,5,36,41,20
"358","15/01/2021",22,0.37,14,3,30,32,25
"359","15/01/2021",23,0.25,8,1,23,25,28
"360","15/01/2021",24,0.17,6,4,24,28,25
"361","16/01/2021",1,0.4,5,41,41,83,7
"362","16/01/2021",2,0.33,9,11,36,46,8
"363","16/01/2021",3,0.15,11,2,22,24,19
"364","16/01/2021",4,0.13,11,5,27,31,13
"365","16/01/2021",5,0.33,5,9,32,41,3
"366","16/01/2021",6,0.61,4,66,35,101,1
"367","16/01/2021",7,0.38,7,39,35,74,1
"368","16/01/2021",8,0.74,11,78,37,115,1
"369","16/01/2021",9,0.89,21,75,41,116,3
"370","16/01/2021",10,0.71,16,40,44,84,12
"371","16/01/2021",11,0.57,18,20,40,60,27
"372","16/01/2021",12,0.36,11,9,26,35,43
"373","16/01/2021",13,0.29,7,5,21,27,54
"374","16/01/2021",14,0.27,6,3,19,22,65
"375","16/01/2021",15,0.42,6,4,25,29,56
"376","16/01/2021",16,0.37,3,4,19,23,46
"377","16/01/2021",17,0.37,2,2,19,20,43
"378","16/01/2021",18,0.38,3,4,29,33,29
"379","16/01/2021",19,0.36,3,6,27,33,14
"380","16/01/2021",20,0.51,3,13,28,41,8
"381","16/01/2021",21,0.7,2,7,40,47,8
"382","16/01/2021",22,0.55,2,7,35,41,12
"383","16/01/2021",23,0.36,1,2,24,26,15
"384","16/01/2021",24,0.3,1,2,21,23,15
"385","17/01/2021",1,0.32,1,3,24,27,9
"386","17/01/2021",2,0.32,1,2,23,25,9
"387","17/01/2021",3,0.34,1,8,27,35,4
"388","17/01/2021",4,0.35,1,10,27,36,2
"389","17/01/2021",5,0.37,1,7,27,33,2
"390","17/01/2021",6,0.49,1,15,28,43,0
"391","17/01/2021",7,0.5,1,21,24,46,2
"392","17/01/2021",8,0.45,1,21,23,44,1
"393","17/01/2021",9,0.44,2,18,23,41,4
"394","17/01/2021",10,0.49,2,20,23,43,10
"395","17/01/2021",11,0.33,2,11,17,28,20
"396","17/01/2021",12,0.3,1,8,17,25,27
"397","17/01/2021",13,0,1,1,4,5,26
"398","17/01/2021",14,0,1,1,4,5,28
"399","17/01/2021",15,0.09,1,2,9,11,30
"400","17/01/2021",16,0.15,1,3,10,13,29
"401","17/01/2021",17,0.04,1,2,7,9,26
"402","17/01/2021",18,0.27,1,7,19,27,11
"403","17/01/2021",19,0.3,1,7,21,27,9
"404","17/01/2021",20,0.42,1,10,26,36,4
"405","17/01/2021",21,0.58,1,15,28,43,1
"406","17/01/2021",22,0.98,2,62,24,86,0
"407","17/01/2021",23,1.16,2,83,23,106,0
"408","17/01/2021",24,0.72,2,46,25,71,0
"409","18/01/2021",1,0.82,2,56,24,81,0
"410","18/01/2021",2,0.81,2,69,25,94,0
"411","18/01/2021",3,0.69,2,60,22,82,0
"412","18/01/2021",4,0.71,2,97,19,116,0
"413","18/01/2021",5,0.79,1,36,21,57,0
"414","18/01/2021",6,1,1,32,25,57,1
"415","18/01/2021",7,1.63,4,225,24,249,1
"416","18/01/2021",8,2.54,7,368,26,395,1
"417","18/01/2021",9,1.88,5,179,32,211,1
"418","18/01/2021",10,1.33,4,85,46,130,5
"419","18/01/2021",11,1.05,2,42,54,96,16
"420","18/01/2021",12,0.91,2,24,54,78,32
"421","18/01/2021",13,0.44,2,9,30,39,46
"422","18/01/2021",14,0.32,2,5,25,30,59
"423","18/01/2021",15,0.37,2,3,25,29,72
"424","18/01/2021",16,0.42,1,2,26,29,81
"425","18/01/2021",17,0.3,1,2,24,26,51
"426","18/01/2021",18,0.26,1,4,27,32,26
"427","18/01/2021",19,0.53,1,7,45,52,12
"428","18/01/2021",20,1,2,35,53,88,2
"429","18/01/2021",21,0.77,2,34,44,79,1
"430","18/01/2021",22,0.62,2,43,42,84,1
"431","18/01/2021",23,0.43,1,16,34,50,7
"432","18/01/2021",24,1.15,2,54,47,101,1
"433","19/01/2021",1,0.67,1,21,43,64,1
"434","19/01/2021",2,0.56,2,60,38,98,1
"435","19/01/2021",3,0.64,2,74,36,109,1
"436","19/01/2021",4,0.28,2,77,33,110,1
"437","19/01/2021",5,0.61,2,117,36,153,0
"438","19/01/2021",6,1.06,4,171,40,211,1
"439","19/01/2021",7,1.07,4,174,35,210,0
"440","19/01/2021",8,1.51,4,214,35,250,1
"441","19/01/2021",9,1.34,4,120,42,162,2
"442","19/01/2021",10,1.36,4,103,60,163,5
"443","19/01/2021",11,0.97,3,48,60,108,16
"444","19/01/2021",12,0.4,2,11,33,45,43
"445","19/01/2021",13,0.41,2,6,30,36,63
"446","19/01/2021",14,0.43,2,4,31,35,77
"447","19/01/2021",15,0.28,2,2,20,22,82
"448","19/01/2021",16,0.27,2,1,19,20,86
"449","19/01/2021",17,0.27,2,1,18,19,82
"450","19/01/2021",18,0.33,2,1,26,27,71
"451","19/01/2021",19,0.41,1,3,36,39,32
"452","19/01/2021",20,0.58,1,2,44,46,24
"453","19/01/2021",21,0.27,2,3,29,32,31
"454","19/01/2021",22,0.16,2,2,20,22,38
"455","19/01/2021",23,0.16,3,5,26,30,30
"456","19/01/2021",24,0.21,4,5,22,27,51
"461","20/01/2021",5,0.26,4,22,32,54,5
"462","20/01/2021",6,0.58,3,69,39,108,2
"463","20/01/2021",7,0.95,4,105,38,142,1
"464","20/01/2021",8,0.75,4,66,33,98,1
"465","20/01/2021",9,0.84,8,58,34,92,4
"466","20/01/2021",10,0.58,17,29,32,60,13
"467","20/01/2021",11,0.55,20,29,36,65,17
"468","20/01/2021",12,0.28,13,10,22,32,34
"469","20/01/2021",13,0.3,9,8,25,33,44
"470","20/01/2021",14,0.34,7,5,22,27,56
"471","20/01/2021",15,0.39,6,3,25,28,72
"472","20/01/2021",16,0.26,4,2,17,19,66
"473","20/01/2021",17,0.19,3,2,13,15,44
"474","20/01/2021",18,0.19,5,4,17,21,27
"475","20/01/2021",19,0.2,2,4,19,24,20
"476","20/01/2021",20,0.33,2,6,27,33,11
"477","20/01/2021",21,0.32,2,9,26,35,8
"478","20/01/2021",22,0.33,2,8,26,34,6
"479","20/01/2021",23,0.34,3,10,26,36,4
"480","20/01/2021",24,0.35,4,17,26,43,3
"481","21/01/2021",1,0.31,3,48,26,75,1
"482","21/01/2021",2,0.3,3,25,25,50,1
"483","21/01/2021",3,0.18,3,24,23,47,2
"484","21/01/2021",4,0.22,3,32,23,54,0
"485","21/01/2021",5,0.28,3,44,23,67,1
"486","21/01/2021",6,0.96,2,48,27,75,1
"487","21/01/2021",7,0.91,3,120,24,144,0
"488","21/01/2021",8,1.52,5,216,27,242,0
"489","21/01/2021",9,0.97,8,99,33,131,2
"490","21/01/2021",10,0.85,7,46,40,85,10
"491","21/01/2021",11,0.62,5,23,36,59,23
"492","21/01/2021",12,0.54,3,11,32,43,44
"493","21/01/2021",13,0.47,3,6,30,35,61
"494","21/01/2021",14,0.37,2,4,24,28,66
"495","21/01/2021",15,0.29,1,2,20,23,72
"496","21/01/2021",16,0.26,1,2,19,20,76
"497","21/01/2021",17,0.3,1,1,22,23,83
"498","21/01/2021",18,0.32,1,2,25,27,73
"499","21/01/2021",19,0.48,1,7,38,45,19
"500","21/01/2021",20,0.49,1,8,35,43,20
"501","21/01/2021",21,0.19,1,1,19,20,31
"502","21/01/2021",22,0.22,2,4,24,28,24
"503","21/01/2021",23,0.45,3,12,31,44,15
"504","21/01/2021",24,1.09,4,64,46,110,2
"505","22/01/2021",1,1.33,4,119,49,168,1
"506","22/01/2021",2,1.05,4,101,47,149,1
"507","22/01/2021",3,0.95,4,142,47,189,1
"508","22/01/2021",4,0.73,4,127,43,171,1
"509","22/01/2021",5,0.93,3,97,43,139,1
"510","22/01/2021",6,1.22,4,155,42,197,1
"511","22/01/2021",7,1.25,4,154,39,194,0
"512","22/01/2021",8,1.81,5,231,39,270,1
"513","22/01/2021",9,1.18,5,95,44,140,2
"514","22/01/2021",10,1.67,5,117,70,186,4
"515","22/01/2021",11,1.06,4,45,63,108,18
"516","22/01/2021",12,0.21,2,5,20,25,47
"517","22/01/2021",13,0.15,3,3,15,17,59
"518","22/01/2021",14,0.23,3,3,17,19,66
"519","22/01/2021",15,0.28,3,2,19,22,77
"520","22/01/2021",16,0.22,3,2,17,19,78
"521","22/01/2021",17,0.23,3,1,19,20,79
"522","22/01/2021",18,0.23,3,1,24,25,84
"523","22/01/2021",19,0.61,3,4,54,58,44
"524","22/01/2021",20,0.33,3,1,28,29,41
"525","22/01/2021",21,0.19,3,0,16,17,53
"526","22/01/2021",22,0.26,3,1,24,25,41
"527","22/01/2021",23,0.23,2,2,26,28,31
"528","22/01/2021",24,0.15,2,4,23,27,30
"529","23/01/2021",1,0.21,2,5,29,34,22
"530","23/01/2021",2,0.29,2,1,26,28,26
"531","23/01/2021",3,0.24,2,11,36,47,15
"532","23/01/2021",4,0.37,2,24,43,67,4
"533","23/01/2021",5,0.44,2,21,42,63,4
"534","23/01/2021",6,0.64,2,18,42,60,5
"535","23/01/2021",7,0.92,3,97,45,141,1
"536","23/01/2021",8,1.63,4,146,46,191,1
"537","23/01/2021",9,0.84,3,57,45,102,5
"538","23/01/2021",10,0.65,3,20,43,63,19
"539","23/01/2021",11,0.74,3,30,53,83,22
"540","23/01/2021",12,0.42,3,9,31,40,47
"541","23/01/2021",13,0.18,3,2,15,18,68
"542","23/01/2021",14,0.25,4,3,21,23,78
"543","23/01/2021",15,0.38,4,1,24,25,90
"544","23/01/2021",16,0.42,3,1,23,24,93
"545","23/01/2021",17,0.32,3,1,20,21,96
"546","23/01/2021",18,0.35,3,0,22,22,89
"547","23/01/2021",19,0.85,3,1,51,52,58
"548","23/01/2021",20,0.89,2,9,64,73,20
"549","23/01/2021",21,0.52,2,4,40,44,25
"550","23/01/2021",22,0.69,2,15,49,64,15
"551","23/01/2021",23,0.38,2,1,29,29,30
"552","23/01/2021",24,0.49,2,5,43,48,14
"553","24/01/2021",1,0.42,2,1,33,34,24
"554","24/01/2021",2,0.62,2,9,47,57,7
"555","24/01/2021",3,0.74,2,61,51,111,1
"556","24/01/2021",4,0.65,2,35,46,81,2
"557","24/01/2021",5,0.29,1,1,28,29,13
"558","24/01/2021",6,0.35,1,18,37,55,6
