"","X","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"6168",7229,"29/10/2021",5,0.5,1,21,36,57,2
"593",618,"26/01/2021",18,0.18,1,2,13,15,35
"2966",3091,"09/05/2021",19,0.36,1,0,26,26,45
"7513",8675,"28/12/2021",11,0.87,6,23,58,80,29
"2787",2897,"01/05/2021",17,0.17,0,1,15,16,65
"6184",7245,"29/10/2021",21,0.08,6,4,20,24,22
"862",904,"07/02/2021",16,0.19,2,1,8,9,54
"1830",1901,"21/03/2021",5,0.45,4,2,30,32,18
"7303",8458,"19/12/2021",10,0.83,5,33,50,84,10
"3156",3285,"17/05/2021",21,0.29,0,2,32,34,29
"5828",6879,"14/10/2021",15,0.21,3,2,17,19,88
"4898",5922,"04/09/2021",18,0.43,0,2,25,28,45
"2744",2854,"29/04/2021",22,0.09,1,0,20,20,46
"989",1031,"12/02/2021",23,0.18,1,3,16,19,12
"3964",4121,"21/06/2021",17,0.36,1,2,27,28,73
"3375",3512,"27/05/2021",8,0.26,9,18,24,42,14
"2815",2929,"03/05/2021",1,0.27,1,30,35,65,7
"4186",5202,"05/08/2021",18,0.4,0,1,23,24,72
"6892",8026,"01/12/2021",10,0.94,4,62,48,110,9
"4422",5445,"15/08/2021",21,0.19,0,2,12,13,25
"6",6,"01/01/2021",6,0.71,1,9,31,40,3
"790",828,"04/02/2021",12,1.19,3,25,78,103,42
"5782",6833,"12/10/2021",17,0.07,1,3,9,12,42
"1382",1439,"01/03/2021",23,0.16,1,1,11,12,46
"85",89,"04/01/2021",17,0.42,4,1,29,30,91
"559",579,"25/01/2021",3,0.33,1,4,28,33,12
"1916",1987,"24/03/2021",19,0.1,0,1,15,16,41
"3222",3355,"20/05/2021",19,0.26,5,0,23,23,67
"4911",5935,"05/09/2021",7,0.34,2,10,15,25,6
"5636",6681,"06/10/2021",9,0.52,2,37,29,66,4
"4625",5648,"24/08/2021",8,0.43,1,26,25,51,6
"3764",3909,"12/06/2021",21,0.23,0,1,17,18,22
"3196",3325,"19/05/2021",13,0.14,0,0,10,10,74
"7466",8624,"26/12/2021",8,1.13,2,85,31,115,1
"3129",3258,"16/05/2021",18,0.11,0,1,11,12,52
"1080",1131,"17/02/2021",3,0.29,0,4,23,26,17
"689",723,"31/01/2021",3,0.25,13,1,23,24,31
"7420",8578,"24/12/2021",10,2.33,5,162,82,244,3
"990",1036,"13/02/2021",4,0.05,1,5,13,18,14
"2334",2414,"11/04/2021",14,0.25,2,1,14,14,117
"3126",3255,"16/05/2021",15,0.25,1,0,10,10,94
"106",110,"05/01/2021",14,0.33,6,3,24,27,71
"1818",1886,"20/03/2021",14,0.3,9,3,19,22,80
"1848",1919,"21/03/2021",23,0.48,2,4,34,39,35
"837",875,"06/02/2021",11,0.52,2,8,29,37,50
"7115",8267,"11/12/2021",11,0.8,2,24,59,83,32
"5917",6972,"18/10/2021",12,0.55,2,14,32,46,38
"4704",5727,"27/08/2021",15,0.53,1,4,25,29,58
"7125",8277,"11/12/2021",21,0.09,1,2,24,27,28
"4819",5843,"01/09/2021",11,1.02,1,18,47,66,24
"4585",5608,"22/08/2021",16,0.33,0,2,13,16,64
"5500",6542,"30/09/2021",14,0.71,1,7,48,56,55
"7596",8758,"31/12/2021",22,0.38,1,3,28,31,18
"5241",6275,"19/09/2021",11,0.31,1,6,12,18,32
"2044",2118,"30/03/2021",6,0.85,5,112,39,151,2
"6249",7310,"01/11/2021",14,0.38,9,3,38,41,76
"2050",2124,"30/03/2021",12,0.34,7,5,27,32,70
"6153",7211,"28/10/2021",11,0.13,2,10,26,36,42
"1697",1765,"15/03/2021",13,0.1,3,1,13,14,82
"3202",3331,"19/05/2021",19,0.04,0,0,11,11,51
"4324",5344,"11/08/2021",16,0.36,1,1,19,20,95
"5934",6989,"19/10/2021",5,0.54,3,138,26,164,1
"2522",2606,"19/04/2021",14,0.1,0,1,6,8,57
"5034",6062,"10/09/2021",14,0.25,1,3,12,16,60
"829",867,"06/02/2021",3,0.15,2,0,14,14,48
"703",737,"31/01/2021",17,0.2,1,1,10,11,52
"6320",7384,"04/11/2021",16,0.14,24,5,24,29,53
"1314",1371,"27/02/2021",3,0.34,2,4,31,36,16
"3635",3780,"07/06/2021",12,0.24,2,4,23,27,66
"7010",8147,"06/12/2021",11,0.62,3,16,41,56,33
"6237",7298,"01/11/2021",2,0.11,1,5,27,33,10
"3888",4037,"18/06/2021",5,0.19,1,11,21,31,15
"7012",8149,"06/12/2021",13,0.34,2,5,27,33,72
"6943",8077,"03/12/2021",13,0.58,4,14,41,55,43
"6592",7715,"18/11/2021",11,0.77,2,26,49,74,30
"4208",5227,"06/08/2021",19,0.31,0,3,19,22,26
"1271",1328,"25/02/2021",8,1.25,5,125,38,162,3
"7440",8598,"25/12/2021",6,0.77,2,25,27,52,1
"6224",7285,"31/10/2021",13,0.16,2,3,18,22,73
"7499",8657,"27/12/2021",17,0.52,3,2,32,34,82
"5902",6957,"17/10/2021",21,0.33,0,3,17,21,18
"2601",2693,"23/04/2021",5,0.57,2,65,50,115,5
"50",54,"03/01/2021",6,0.59,2,19,42,61,3
"3267",3400,"22/05/2021",16,0.09,1,0,10,10,83
"1350",1407,"28/02/2021",15,0.5,8,0,17,17,131
"6610",7733,"19/11/2021",5,0.06,1,8,19,27,16
"2939",3064,"08/05/2021",16,0.18,2,0,17,17,75
"6114",7172,"26/10/2021",20,0.64,1,24,31,55,5
"5404",6443,"26/09/2021",11,0.31,4,6,15,21,37
"4363",5386,"13/08/2021",10,0.3,2,9,21,30,24
"3260",3393,"22/05/2021",9,0.6,3,19,37,56,24
"1275",1332,"25/02/2021",12,0.73,14,14,42,56,46
"7594",8756,"31/12/2021",20,0.48,1,3,34,37,25
"2513",2597,"19/04/2021",5,1.06,2,91,45,136,5
"889",931,"08/02/2021",19,0.39,1,2,27,29,32
"3898",4047,"18/06/2021",15,0.57,1,7,21,28,26
"3224",3357,"20/05/2021",21,0.18,2,0,18,17,48
"4618",5641,"24/08/2021",1,0.1,0,4,13,17,19
"2657",2749,"25/04/2021",13,0.26,3,1,13,14,107
"3153",3282,"17/05/2021",18,0.25,0,1,26,27,48
"7439",8597,"25/12/2021",5,0.77,2,22,27,49,1
"6733",7859,"24/11/2021",11,0.54,8,16,35,51,29
"3705",3850,"10/06/2021",10,0.3,17,13,22,35,29
"1911",1982,"24/03/2021",14,0.14,1,2,12,15,62
"1734",1802,"17/03/2021",2,0.41,2,81,42,124,2
"4769",5792,"30/08/2021",8,0.91,1,67,24,91,1
"1003",1049,"13/02/2021",17,0.16,1,2,8,10,41
"6341",7405,"05/11/2021",13,0.32,3,8,31,39,51
"4666",5689,"26/08/2021",1,0.13,0,3,14,18,16
"7368",8526,"22/12/2021",6,1.58,4,191,43,234,1
"1374",1431,"01/03/2021",15,0.4,4,1,21,21,109
"6676",7799,"21/11/2021",23,0.13,2,3,15,18,18
"204",212,"09/01/2021",20,0.34,1,6,27,33,12
"7509",8671,"28/12/2021",7,1.18,3,127,44,171,1
"974",1016,"12/02/2021",8,1.47,4,173,32,205,1
"4003",4160,"23/06/2021",8,0.67,1,33,30,64,7
"2514",2598,"19/04/2021",6,1.55,3,138,53,191,4
"1883",1954,"23/03/2021",10,0.77,1,28,44,72,22
"7166",8318,"13/12/2021",14,0.33,4,8,35,43,55
"220",228,"10/01/2021",12,0.11,1,5,10,15,33
"7523",8685,"28/12/2021",21,0.78,2,19,48,68,12
"1907",1978,"24/03/2021",10,0.66,1,22,41,63,26
"7451",8609,"25/12/2021",17,0.11,2,2,8,10,52
"241",249,"11/01/2021",9,1.13,8,108,34,142,2
"2985",3110,"10/05/2021",14,0.47,5,0,22,23,120
"1758",1826,"18/03/2021",2,0.26,1,14,34,48,17
"1675",1739,"14/03/2021",11,0.53,7,5,27,33,63
"5616",6661,"05/10/2021",13,0.15,1,5,11,16,41
"2197",2274,"05/04/2021",18,0.11,5,1,15,16,50
"4382",5405,"14/08/2021",5,0.17,0,7,13,20,11
"265",273,"12/01/2021",9,0.9,3,63,32,95,3
"2193",2270,"05/04/2021",14,0.24,2,3,20,22,67
"2434",2518,"15/04/2021",22,0.11,0,0,17,17,49
"3043",3168,"12/05/2021",24,0.03,0,0,11,11,26
"641",675,"29/01/2021",3,0.21,14,7,19,26,14
"4006",4163,"23/06/2021",11,0.71,1,14,34,48,38
"1640",1704,"12/03/2021",24,0.27,15,2,22,24,22
"2452",2536,"16/04/2021",16,0.3,1,0,18,19,134
"3511",3652,"02/06/2021",4,0.08,1,3,12,14,29
"7322",8477,"20/12/2021",5,0.34,2,50,30,80,1
"5560",6602,"03/10/2021",2,0.13,0,2,11,13,25
"5756",6807,"11/10/2021",15,0.31,4,1,16,18,102
"5367",6406,"24/09/2021",22,0.5,1,14,37,50,6
"5701",6749,"09/10/2021",5,0.05,5,10,14,24,11
"7531",8693,"29/12/2021",5,0.26,2,60,38,98,2
"5798",6849,"13/10/2021",9,1.25,2,83,47,130,5
"4184",5200,"05/08/2021",16,0.38,0,1,17,18,87
"1719",1787,"16/03/2021",11,0.43,2,7,28,35,52
"1497",1558,"06/03/2021",22,0.47,1,6,35,40,16
"2581",2673,"22/04/2021",9,1.27,6,74,60,134,7
"3824",3973,"15/06/2021",13,0.27,1,3,13,16,54
"2363",2443,"12/04/2021",19,0.22,0,1,19,19,64
"5801",6852,"13/10/2021",12,0.44,1,8,29,37,51
"1158",1212,"20/02/2021",12,1.06,15,14,59,73,57
"6333",7397,"05/11/2021",5,0.02,5,10,17,27,10
"5547",6589,"02/10/2021",13,0.5,1,3,26,29,93
"1406",1463,"02/03/2021",23,0.3,1,1,27,28,45
"3060",3185,"13/05/2021",17,0.19,1,5,17,21,32
"607",632,"27/01/2021",8,1.42,5,178,46,224,1
"838",876,"06/02/2021",12,0.39,2,4,20,24,63
"5414",6453,"26/09/2021",21,0.23,1,1,15,16,29
"3355",3492,"26/05/2021",12,0.45,4,4,30,34,72
"2546",2638,"20/04/2021",22,0.3,1,2,20,22,44
"1468",1529,"05/03/2021",17,0.13,8,2,15,17,70
"7301",8456,"19/12/2021",8,0.86,1,64,35,99,1
"1377",1434,"01/03/2021",18,0.46,3,0,25,26,96
"2519",2603,"19/04/2021",11,0.5,1,6,27,33,61
"6132",7190,"27/10/2021",14,0.11,0,2,5,7,40
"3792",3941,"14/06/2021",5,0.16,0,19,15,33,7
"7203",8355,"15/12/2021",3,0.23,6,16,27,43,2
"5641",6686,"06/10/2021",14,0.26,1,10,18,27,28
"499",519,"22/01/2021",15,0.28,3,2,19,22,77
"4858",5882,"03/09/2021",2,0.3,0,2,26,28,7
"32",36,"02/01/2021",12,0.44,2,10,33,43,51
"5540",6582,"02/10/2021",6,1.87,3,221,29,251,1
"2718",2824,"28/04/2021",16,0.32,3,0,20,20,115
"43",47,"02/01/2021",23,0.48,1,9,31,40,21
"5813",6864,"13/10/2021",24,0.49,1,8,32,40,4
"6134",7192,"27/10/2021",16,0.15,1,2,8,11,49
"2128",2205,"02/04/2021",21,0.1,1,2,13,14,24
"166",174,"08/01/2021",6,0.78,5,101,38,139,1
"6871",8005,"30/11/2021",13,0.48,4,12,36,49,42
"62",66,"03/01/2021",18,0.05,1,1,9,10,41
"1646",1710,"13/03/2021",6,1.04,11,103,39,142,1
"6715",7841,"23/11/2021",17,0.3,1,4,18,23,36
"3063",3188,"13/05/2021",20,0.18,1,3,19,21,20
"2399",2483,"14/04/2021",11,0.86,2,11,56,67,65
"7051",8188,"08/12/2021",4,0.63,3,124,48,172,0
"4097",5113,"02/08/2021",1,0.59,1,15,35,50,3
"3303",3436,"24/05/2021",4,0.01,2,0,9,9,42
"6433",7497,"09/11/2021",9,0.67,32,71,37,108,5
"2147",2224,"03/04/2021",16,0.11,2,1,8,9,64
"138",142,"06/01/2021",22,0.07,1,2,15,17,21
"1309",1366,"26/02/2021",22,0.77,3,9,55,63,19
"1823",1891,"20/03/2021",19,0.23,6,1,16,16,58
"5726",6774,"10/10/2021",6,0.69,1,47,20,67,1
"7162",8314,"13/12/2021",10,0.68,5,41,39,80,11
"535",555,"24/01/2021",3,0.74,2,61,51,111,1
"5304",6338,"22/09/2021",2,0.1,0,1,10,11,26
"472",492,"21/01/2021",12,0.54,3,11,32,43,44
"705",739,"31/01/2021",19,0.26,1,3,16,18,32
"4455",5478,"17/08/2021",6,0.26,0,13,21,34,9
"502",522,"22/01/2021",18,0.23,3,1,24,25,84
"1067",1118,"16/02/2021",14,0.4,0,4,19,22,62
"1343",1400,"28/02/2021",8,0.97,4,35,46,81,5
"2838",2952,"03/05/2021",24,0.16,0,1,18,19,26
"2479",2563,"17/04/2021",19,0.12,1,0,11,11,57
"566",586,"25/01/2021",10,0.92,2,49,49,97,12
"1070",1121,"16/02/2021",17,0.2,0,2,8,10,48
"283",291,"13/01/2021",3,0.35,2,33,38,71,2
"4957",5981,"07/09/2021",5,0.24,0,20,22,43,5
"2483",2567,"17/04/2021",23,0.04,0,1,11,11,46
"4185",5201,"05/08/2021",17,0.35,0,1,19,20,88
"2559",2651,"21/04/2021",11,1,12,15,65,80,52
"4690",5713,"27/08/2021",1,0.08,0,3,10,13,17
"460",480,"20/01/2021",24,0.35,4,17,26,43,3
"2214",2291,"06/04/2021",11,0.37,17,7,23,30,52
"6567",7690,"17/11/2021",10,0.84,3,58,57,115,11
"6942",8076,"03/12/2021",12,0.77,4,19,51,71,36
"3564",3705,"04/06/2021",9,0.83,1,27,38,66,20
"2469",2553,"17/04/2021",9,1.69,3,101,76,177,9
"2466",2550,"17/04/2021",6,0.74,2,59,49,107,8
"6789",7915,"26/11/2021",19,0.96,3,26,63,89,9
"5654",6699,"07/10/2021",3,0.07,0,6,20,26,11
"5539",6581,"02/10/2021",5,1.35,1,79,34,113,1
"6463",7583,"12/11/2021",23,0.16,6,6,20,25,17
"3746",3891,"12/06/2021",3,0.04,1,4,13,17,16
"6691",7817,"22/11/2021",17,0.2,2,7,20,27,33
"272",280,"12/01/2021",16,0.09,1,3,10,13,37
"4458",5481,"17/08/2021",9,0.34,1,12,19,31,16
"6597",7720,"18/11/2021",16,0.27,1,2,22,24,83
"7220",8372,"15/12/2021",20,0.7,9,5,57,62,28
"4527",5550,"20/08/2021",6,0.31,13,19,20,39,4
"362",378,"16/01/2021",18,0.38,3,4,29,33,29
"2496",2580,"18/04/2021",12,0.31,2,2,20,22,76
"5424",6463,"27/09/2021",7,0.97,2,108,28,136,1
"3198",3327,"19/05/2021",15,0.08,0,0,10,11,65
"5278",6312,"20/09/2021",24,0.45,1,16,27,43,6
"4578",5601,"22/08/2021",9,0.22,1,7,10,17,20
"5003",6027,"09/09/2021",3,0.09,0,3,13,16,14
"3565",3706,"04/06/2021",10,0.59,1,14,30,44,29
"1579",1643,"10/03/2021",11,0.92,4,31,63,94,32
"5529",6571,"01/10/2021",19,0.53,0,12,34,47,8
"483",503,"21/01/2021",23,0.45,3,12,31,44,15
"669",703,"30/01/2021",7,0.76,11,58,43,101,2
"2175",2252,"04/04/2021",20,0.14,1,2,19,20,39
"1349",1406,"28/02/2021",14,0.46,8,1,16,17,120
"4903",5927,"04/09/2021",23,0.15,0,2,10,13,22
"4707",5730,"27/08/2021",18,0.57,1,5,30,34,29
"7245",8400,"16/12/2021",24,0.25,5,9,34,43,16
"5799",6850,"13/10/2021",10,1.09,2,46,58,105,15
"4742",5765,"29/08/2021",5,0.34,0,17,14,31,1
"418",434,"19/01/2021",2,0.56,2,60,38,98,1
"4866",5890,"03/09/2021",10,0.96,1,40,35,76,7
"1956",2027,"26/03/2021",11,0.61,3,7,33,39,64
"4880",5904,"03/09/2021",24,0.41,0,18,25,43,2
"3773",3922,"13/06/2021",10,0.43,3,18,23,40,13
"2351",2431,"12/04/2021",7,1.76,4,187,53,241,3
"4689",5712,"26/08/2021",24,0.11,0,3,9,12,18
"3959",4116,"21/06/2021",12,0.45,2,7,31,38,62
"685",719,"30/01/2021",23,1.37,4,23,69,92,2
"5704",6752,"09/10/2021",8,0.36,5,22,27,49,4
"3449",3586,"30/05/2021",10,0.35,3,6,22,28,42
"5839",6890,"15/10/2021",2,0.1,1,16,25,40,10
"5923",6978,"18/10/2021",18,0.33,1,4,22,26,37
"4496",5519,"18/08/2021",23,0.18,0,3,14,17,20
"4368",5391,"13/08/2021",15,0.45,3,1,22,23,117
"353",369,"16/01/2021",9,0.89,21,75,41,116,3
"1589",1653,"10/03/2021",21,0.66,1,6,54,60,24
"4113",5129,"02/08/2021",17,0.36,7,2,19,21,93
"6879",8013,"30/11/2021",21,0.62,5,8,47,55,7
"4028",4185,"24/06/2021",9,0.7,3,40,33,73,10
"6084",7142,"25/10/2021",14,0.18,1,6,9,15,22
"5125",6156,"14/09/2021",12,0.28,0,6,13,20,32
"321",337,"15/01/2021",1,0.46,12,12,36,48,1
"2020",2094,"29/03/2021",6,0.1,1,6,18,24,12
"682",716,"30/01/2021",20,0.99,8,22,66,88,17
"4225",5244,"07/08/2021",12,0.3,3,5,16,21,54
"4334",5357,"12/08/2021",5,0.39,1,44,25,70,4
"1908",1979,"24/03/2021",11,0.58,1,11,34,45,45
"5808",6859,"13/10/2021",19,0.22,1,8,23,30,11
"5325",6359,"22/09/2021",23,0.15,0,5,16,21,15
"3980",4137,"22/06/2021",9,0.82,2,39,30,70,12
"3130",3259,"16/05/2021",19,0.29,0,1,25,26,37
"6436",7500,"09/11/2021",12,0.78,17,23,58,81,38
"6660",7783,"21/11/2021",7,0.33,1,12,21,32,3
"7181",8333,"14/12/2021",5,0.36,3,34,27,61,0
"5326",6360,"22/09/2021",24,0.1,0,4,13,17,17
"324",340,"15/01/2021",4,0.43,7,56,31,88,1
"2861",2975,"04/05/2021",23,0.25,1,0,24,24,49
"2449",2533,"16/04/2021",13,0.21,2,2,16,17,93
"4990",6014,"08/09/2021",14,0.38,0,2,16,18,89
"2986",3111,"10/05/2021",15,0.38,3,0,17,16,135
"712",750,"01/02/2021",6,0.11,2,1,12,13,27
"1914",1985,"24/03/2021",17,0.07,0,2,11,13,55
"6086",7144,"25/10/2021",16,0.2,0,7,11,18,22
"2816",2930,"03/05/2021",2,0.25,1,46,32,79,8
"7156",8308,"13/12/2021",4,0.2,1,34,28,62,4
"2600",2692,"23/04/2021",4,0.31,1,7,33,40,19
"6755",7881,"25/11/2021",9,0.7,4,43,32,75,5
"2173",2250,"04/04/2021",18,0.1,1,2,13,15,62
"3013",3138,"11/05/2021",18,0.21,1,0,17,18,52
"786",824,"04/02/2021",8,1.41,5,175,41,216,1
"5736",6784,"10/10/2021",16,0.12,1,1,7,8,60
"3962",4119,"21/06/2021",15,0.28,2,1,16,17,127
"6364",7428,"06/11/2021",12,0.1,6,7,16,24,38
"1567",1631,"09/03/2021",23,0.41,3,20,38,58,8
"847",885,"06/02/2021",21,0.4,2,0,17,18,34
"2413",2497,"15/04/2021",1,0.03,1,3,22,26,29
"6125",7183,"27/10/2021",7,1.24,2,109,22,130,1
"1353",1410,"28/02/2021",18,0.43,3,0,16,16,93
"2582",2674,"22/04/2021",10,1.09,5,39,67,106,20
"739",777,"02/02/2021",9,0.81,29,54,31,85,4
"5218",6252,"18/09/2021",12,0.34,1,6,18,25,42
"3755",3900,"12/06/2021",12,0.23,2,6,19,25,38
"613",647,"27/01/2021",23,0.13,1,3,15,18,17
"7444",8602,"25/12/2021",10,1.52,3,28,66,94,26
"191",199,"09/01/2021",7,1.05,2,96,37,134,1
"9",9,"01/01/2021",9,0.43,1,12,23,35,15
"6400",7464,"07/11/2021",24,0.03,2,3,14,17,17
"5820",6871,"14/10/2021",7,1.48,3,182,26,207,1
"6779",7905,"26/11/2021",9,0.27,5,12,19,30,18
"249",257,"11/01/2021",17,0.13,1,6,12,18,27
"314",330,"14/01/2021",18,0.09,1,3,13,15,24
"3993",4150,"22/06/2021",22,0.35,0,3,32,35,18
"2641",2733,"24/04/2021",21,0.1,1,1,11,12,59
"4746",5769,"29/08/2021",9,0.42,1,19,15,34,10
"6409",7473,"08/11/2021",9,0.91,10,81,37,118,3
"5890",6945,"17/10/2021",9,0.22,1,7,13,20,20
"7227",8382,"16/12/2021",6,0.64,2,45,43,88,1
"4138",5154,"03/08/2021",18,0.38,1,6,25,31,18
"3710",3855,"10/06/2021",15,0.09,1,1,13,14,66
"2129",2206,"02/04/2021",22,0.11,2,2,13,15,23
"5522",6564,"01/10/2021",12,0.32,1,6,24,30,56
"5450",6489,"28/09/2021",9,1.08,2,54,36,91,8
"1694",1762,"15/03/2021",10,0.5,3,12,36,48,36
"3077",3206,"14/05/2021",14,0.22,1,3,16,19,50
"6029",7087,"23/10/2021",7,0.44,1,23,16,39,1
"4263",5283,"09/08/2021",3,0.71,1,72,27,98,1
"3361",3498,"26/05/2021",18,0.16,1,1,16,17,49
"2936",3061,"08/05/2021",13,0.32,5,2,21,23,89
"2404",2488,"14/04/2021",16,0.09,1,1,17,18,71
"2488",2572,"18/04/2021",4,0.3,1,9,29,37,16
"4341",5364,"12/08/2021",12,0.45,4,8,28,36,53
"6089",7147,"25/10/2021",19,0.61,1,20,22,42,4
"6791",7917,"26/11/2021",21,0.49,4,9,33,42,8
"1681",1745,"14/03/2021",17,0.41,2,0,21,21,83
"5306",6340,"22/09/2021",4,0.13,0,5,14,19,19
"5185",6216,"16/09/2021",24,0.14,1,5,18,23,16
"1386",1443,"02/03/2021",3,0.14,2,2,13,15,37
"7435",8593,"25/12/2021",1,0.22,3,2,14,16,20
"1511",1572,"07/03/2021",12,0.71,9,6,35,41,72
"1566",1630,"09/03/2021",22,0.32,2,6,33,39,15
"2758",2868,"30/04/2021",12,0.47,2,3,29,31,85
"4940",5964,"06/09/2021",12,0.66,1,14,31,44,39
"2796",2910,"02/05/2021",6,0.4,1,3,24,27,18
"3453",3590,"30/05/2021",14,0.17,1,0,11,11,92
"1944",2015,"25/03/2021",23,0.23,0,2,25,28,33
"6955",8092,"04/12/2021",4,0.71,5,99,36,135,0
"2577",2669,"22/04/2021",5,0.37,2,84,37,121,3
"3731",3876,"11/06/2021",12,0.36,7,6,27,33,51
"6489",7609,"14/11/2021",1,0.04,1,3,13,16,20
"2580",2672,"22/04/2021",8,1.16,6,75,44,119,4
"7137",8289,"12/12/2021",9,0.33,2,18,23,42,17
"3026",3151,"12/05/2021",7,1.01,2,92,33,125,3
"6161",7219,"28/10/2021",19,0.44,2,4,41,44,38
"6182",7243,"29/10/2021",19,0.44,15,8,50,58,20
"2715",2821,"28/04/2021",13,0.5,2,1,27,28,119
"4000",4157,"23/06/2021",5,0.25,1,6,18,24,18
"3251",3384,"21/05/2021",24,0.28,0,2,31,33,28
"5330",6369,"23/09/2021",9,0.6,2,44,29,73,5
"6621",7744,"19/11/2021",16,0.27,3,9,18,27,27
"804",842,"05/02/2021",2,0.51,5,17,45,62,11
"7501",8659,"27/12/2021",19,0.75,2,5,53,59,40
"5780",6831,"12/10/2021",15,0.21,1,1,13,14,80
"7324",8479,"20/12/2021",7,0.58,2,62,27,88,1
"2124",2201,"02/04/2021",17,0.02,0,2,8,10,46
"7239",8394,"16/12/2021",18,0.39,4,2,38,39,70
"7424",8582,"24/12/2021",14,0.27,3,10,21,31,38
"610",644,"27/01/2021",20,0.3,1,3,22,25,26
"4784",5807,"30/08/2021",23,0.65,0,18,28,47,1
"3634",3779,"07/06/2021",11,0.41,4,13,40,53,45
"7184",8336,"14/12/2021",8,1.73,7,228,33,260,0
"2493",2577,"18/04/2021",9,0.48,4,14,30,44,27
"3779",3928,"13/06/2021",16,0.35,2,1,13,14,57
"597",622,"26/01/2021",22,0.46,3,2,25,27,27
"3010",3135,"11/05/2021",15,0.25,1,1,18,19,59
"4645",5668,"25/08/2021",4,0.08,0,2,8,10,19
"4468",5491,"17/08/2021",19,0.67,0,11,43,54,15
"5282",6316,"21/09/2021",4,0.46,3,94,33,127,3
"3945",4102,"20/06/2021",22,0.24,1,3,18,20,16
"3675",3820,"09/06/2021",4,0.19,3,3,15,18,22
"4483",5506,"18/08/2021",10,0.46,3,21,28,49,16
"7428",8586,"24/12/2021",18,0.24,2,4,26,30,39
"3396",3533,"28/05/2021",5,0.73,21,55,38,93,5
"1718",1786,"16/03/2021",10,0.77,2,19,44,63,30
"2471",2555,"17/04/2021",11,0.74,2,11,51,62,62
"7317",8472,"19/12/2021",24,0.05,3,9,24,33,7
"3680",3825,"09/06/2021",9,0.7,19,20,35,55,16
"7329",8484,"20/12/2021",12,0.96,5,32,61,93,15
"2319",2399,"10/04/2021",23,0.62,1,7,43,50,27
"1530",1591,"08/03/2021",7,0.46,8,32,35,67,1
"514",534,"23/01/2021",6,0.64,2,18,42,60,5
"2088",2162,"01/04/2021",2,0.04,1,2,15,17,30
"6566",7689,"17/11/2021",9,1.1,4,95,52,147,3
"1999",2073,"28/03/2021",9,0.59,1,9,29,38,28
"1311",1368,"26/02/2021",24,0.56,7,4,37,41,22
"1296",1353,"26/02/2021",9,1.28,4,62,50,112,9
"2316",2396,"10/04/2021",20,0.18,1,0,18,18,62
"7342",8497,"21/12/2021",1,0.23,1,20,25,45,1
"5222",6256,"18/09/2021",16,0.38,1,4,24,28,39
"2865",2979,"05/05/2021",3,0.18,1,2,20,22,44
"313",329,"14/01/2021",17,0.04,1,2,10,13,30
"1424",1484,"03/03/2021",20,0.37,5,2,34,36,47
"6719",7845,"23/11/2021",21,0.42,1,7,34,41,14
"5874",6926,"16/10/2021",14,0.12,0,4,9,13,37
"3878",4027,"17/06/2021",19,0.3,1,4,18,22,19
"238",246,"11/01/2021",6,0.24,7,11,22,34,10
"4691",5714,"27/08/2021",2,0.09,1,4,9,14,17
"3670",3815,"08/06/2021",23,0.37,1,2,30,32,24
"1378",1435,"01/03/2021",19,0.48,2,1,34,35,66
"6677",7800,"21/11/2021",24,0.09,12,4,15,19,18
"5719",6767,"09/10/2021",23,0.19,2,3,16,19,12
"476",496,"21/01/2021",16,0.26,1,2,19,20,76
"5991",7046,"21/10/2021",14,0.28,2,7,18,25,33
"4680",5703,"26/08/2021",15,0.21,1,3,12,15,56
"6222",7283,"31/10/2021",11,0.52,3,12,41,54,45
"6415",7479,"08/11/2021",15,0.19,5,3,24,26,79
"7524",8686,"28/12/2021",22,0.73,1,6,47,53,10
"132",136,"06/01/2021",16,0.07,1,1,10,11,56
"3593",3734,"05/06/2021",14,0.4,2,3,24,28,72
"4838",5862,"02/09/2021",6,0.54,1,23,35,58,2
"3578",3719,"04/06/2021",23,1.05,1,14,44,58,4
"6927",8061,"02/12/2021",21,0.33,6,8,28,36,9
"875",917,"08/02/2021",5,0.51,1,4,30,34,11
"2357",2437,"12/04/2021",13,0.36,2,2,21,22,97
"7048",8185,"08/12/2021",1,0.19,2,8,35,43,16
"4576",5599,"22/08/2021",7,0.16,0,4,16,20,10
"3494",3635,"01/06/2021",11,0.62,22,7,33,40,57
"3671",3816,"08/06/2021",24,0.54,1,0,37,38,17
"7417",8575,"24/12/2021",7,2.35,7,345,45,390,1
"2188",2265,"05/04/2021",9,0.95,15,54,46,99,10
"6836",7970,"29/11/2021",2,0.07,3,5,18,23,17
"7269",8424,"17/12/2021",24,0.48,2,12,51,63,10
"158",162,"07/01/2021",18,0.45,4,1,31,32,57
"3270",3403,"22/05/2021",19,0.18,14,0,18,17,77
"6331",7395,"05/11/2021",3,0.07,7,7,20,28,8
"6860",7994,"30/11/2021",2,0.49,6,47,37,83,0
"7079",8216,"09/12/2021",8,0.95,2,82,53,135,1
"7128",8280,"11/12/2021",24,0.01,0,3,15,18,28
"3832",3981,"15/06/2021",21,0.28,1,3,18,21,18
"5988",7043,"21/10/2021",11,0.27,3,9,14,23,24
"4349",5372,"12/08/2021",20,0.27,1,1,23,24,42
"6049",7107,"24/10/2021",3,0.11,1,2,9,11,10
