"","newCol","tsDataF.NO2"
"1689","07/08/2021 12",16
"1690","07/08/2021 13",17
"1691","07/08/2021 14",20
"1692","07/08/2021 15",20
"1693","07/08/2021 16",21
"1694","07/08/2021 17",20
"1695","07/08/2021 19",26
"1696","07/08/2021 20",15
"1697","07/08/2021 21",14
"1698","07/08/2021 22",14
"1699","07/08/2021 23",11
"1700","07/08/2021 24",10
"1701","07/09/2021 01",17
"1702","07/09/2021 02",20
"1703","07/09/2021 03",18
"1704","07/09/2021 04",14
"1705","07/09/2021 05",22
"1706","07/09/2021 06",29
"1707","07/09/2021 07",33
"1708","07/09/2021 08",34
"1709","07/09/2021 09",35
"1710","07/09/2021 10",35
"1711","07/09/2021 11",41
"1712","07/09/2021 12",41
"1713","07/09/2021 13",39
"1714","07/09/2021 14",26
"1715","07/09/2021 15",33
"1716","07/09/2021 16",39
"1717","07/09/2021 17",23
"1718","07/09/2021 18",23
"1719","07/09/2021 19",23
"1720","07/09/2021 20",26
"1721","07/09/2021 21",34
"1722","07/09/2021 22",35
"1723","07/09/2021 23",35
"1724","07/09/2021 24",30
"1725","07/10/2021 01",16
"1726","07/10/2021 02",19
"1727","07/10/2021 03",20
"1728","07/10/2021 04",16
"1729","07/10/2021 05",22
"1730","07/10/2021 06",29
"1731","07/10/2021 07",32
"1732","07/10/2021 08",30
"1733","07/10/2021 09",32
"1734","07/10/2021 10",35
"1735","07/10/2021 11",19
"1736","07/10/2021 12",23
"1737","07/10/2021 13",26
"1738","07/10/2021 14",24
"1739","07/10/2021 15",20
"1740","07/10/2021 16",22
"1741","07/10/2021 17",27
"1742","07/10/2021 18",22
"1743","07/10/2021 19",21
"1744","07/10/2021 20",17
"1745","07/10/2021 21",15
"1746","07/10/2021 22",13
"1747","07/10/2021 23",12
"1748","07/10/2021 24",16
"1749","07/11/2021 01",25
"1750","07/11/2021 02",20
"1751","07/11/2021 03",18
"1752","07/11/2021 04",21
"1753","07/11/2021 05",24
"1754","07/11/2021 06",26
"1755","07/11/2021 07",26
"1756","07/11/2021 08",26
"1757","07/11/2021 09",28
"1758","07/11/2021 10",28
"1759","07/11/2021 11",24
"1760","07/11/2021 12",17
"1761","07/11/2021 13",14
"1762","07/11/2021 14",18
"1763","07/11/2021 15",16
"1764","07/11/2021 16",15
"1765","07/11/2021 17",15
"1766","07/11/2021 18",18
"1767","07/11/2021 19",21
"1768","07/11/2021 20",18
"1769","07/11/2021 21",21
"1770","07/11/2021 22",21
"1771","07/11/2021 23",17
"1772","07/11/2021 24",14
"1773","07/12/2021 01",24
"1774","07/12/2021 02",32
"1775","07/12/2021 03",42
"1776","07/12/2021 04",51
"1777","07/12/2021 05",45
"1778","07/12/2021 06",42
"1779","07/12/2021 07",40
"1780","07/12/2021 08",43
"1781","07/12/2021 09",51.5047978621496
"1782","07/12/2021 10",48
"1783","07/12/2021 11",41
"1784","07/12/2021 12",51.5047978621496
"1785","07/12/2021 13",51.5047978621496
"1786","07/12/2021 14",32
"1787","07/12/2021 15",19
"1788","07/12/2021 16",18
"1789","07/12/2021 17",19
"1790","07/12/2021 18",22
"1791","07/12/2021 19",44
"1792","07/12/2021 20",25
"1793","07/12/2021 21",27
"1794","07/12/2021 22",34
"1795","07/12/2021 23",29
"1796","07/12/2021 24",28
"1797","08/01/2021 04",38
"1798","08/01/2021 05",40
"1799","08/01/2021 06",38
"1800","08/01/2021 07",42
"1801","08/01/2021 08",41
"1802","08/01/2021 09",47
"1803","08/01/2021 10",47
"1804","08/01/2021 11",45
"1805","08/01/2021 12",29
"1806","08/01/2021 13",17
"1807","08/01/2021 14",18
"1808","08/01/2021 15",22
"1809","08/01/2021 16",21
"1810","08/01/2021 17",26
"1811","08/01/2021 18",26
"1812","08/01/2021 19",27
"1813","08/01/2021 20",22
"1814","08/01/2021 21",20
"1815","08/01/2021 22",36
"1816","08/01/2021 23",38
"1817","08/01/2021 24",34
"1818","08/02/2021 01",44
"1819","08/02/2021 02",42
"1820","08/02/2021 03",46
"1821","08/02/2021 04",31
"1822","08/02/2021 05",30
"1823","08/02/2021 06",50
"1824","08/02/2021 07",46
"1825","08/02/2021 08",45
"1826","08/02/2021 09",47
"1827","08/02/2021 10",51.5047978621496
"1828","08/02/2021 11",29
"1829","08/02/2021 12",28
"1830","08/02/2021 13",22
"1831","08/02/2021 14",17
"1832","08/02/2021 15",11
"1833","08/02/2021 16",12
"1834","08/02/2021 17",16
"1835","08/02/2021 18",20
"1836","08/02/2021 19",27
"1837","08/02/2021 20",25
"1838","08/02/2021 21",22
"1839","08/02/2021 22",17
"1840","08/02/2021 23",19
"1841","08/02/2021 24",24
"1842","08/03/2021 01",39
"1843","08/03/2021 02",29
"1844","08/03/2021 03",21
"1845","08/03/2021 04",26
"1846","08/03/2021 05",25
"1847","08/03/2021 06",28
"1848","08/03/2021 07",35
"1849","08/03/2021 08",36
"1850","08/03/2021 09",40
"1851","08/03/2021 10",49
"1852","08/03/2021 11",51.5047978621496
"1853","08/03/2021 12",51.5047978621496
"1854","08/03/2021 13",47
"1855","08/03/2021 14",23
"1856","08/03/2021 15",17
"1857","08/03/2021 16",19
"1858","08/03/2021 17",21
"1859","08/03/2021 18",21
"1860","08/03/2021 19",28
"1861","08/03/2021 20",31
"1862","08/03/2021 21",28
"1863","08/03/2021 22",22
"1864","08/03/2021 23",21
"1865","08/03/2021 24",20
"1866","08/04/2021 04",42
"1867","08/04/2021 05",48
"1868","08/04/2021 06",51.5047978621496
"1869","08/04/2021 07",51.5047978621496
"1870","08/04/2021 08",51.5047978621496
"1871","08/04/2021 09",51
"1872","08/04/2021 10",40
"1873","08/04/2021 11",45
"1874","08/04/2021 12",17
"1875","08/04/2021 13",12
"1876","08/04/2021 14",15
"1877","08/04/2021 15",14
"1878","08/04/2021 16",15
"1879","08/04/2021 17",25
"1880","08/04/2021 18",22
"1881","08/04/2021 19",21
"1882","08/04/2021 20",12
"1883","08/04/2021 21",13
"1884","08/04/2021 22",16
"1885","08/04/2021 23",20
"1886","08/04/2021 24",13
"1887","08/05/2021 04",18
"1888","08/05/2021 05",19
"1889","08/05/2021 06",27
"1890","08/05/2021 07",26
"1891","08/05/2021 08",28
"1892","08/05/2021 09",35
"1893","08/05/2021 10",35
"1894","08/05/2021 11",31
"1895","08/05/2021 12",26
"1896","08/05/2021 13",21
"1897","08/05/2021 14",16
"1898","08/05/2021 15",10
"1899","08/05/2021 16",17
"1900","08/05/2021 17",16
"1901","08/05/2021 18",18
"1902","08/05/2021 19",19
"1903","08/05/2021 20",21
"1904","08/05/2021 21",18
"1905","08/05/2021 22",25
"1906","08/05/2021 23",20
"1907","08/05/2021 24",23
"1908","08/06/2021 01",24
"1909","08/06/2021 02",25
"1910","08/06/2021 03",41
"1911","08/06/2021 04",37
"1912","08/06/2021 05",41
"1913","08/06/2021 06",46
"1914","08/06/2021 07",45
"1915","08/06/2021 08",45
"1916","08/06/2021 09",48
"1917","08/06/2021 10",46
"1918","08/06/2021 11",38
"1919","08/06/2021 12",27
"1920","08/06/2021 13",31
"1921","08/06/2021 14",31
"1922","08/06/2021 15",27
"1923","08/06/2021 16",20
"1924","08/06/2021 17",17
"1925","08/06/2021 18",19
"1926","08/06/2021 19",22
"1927","08/06/2021 20",18
"1928","08/06/2021 21",23
"1929","08/06/2021 22",23
"1930","08/06/2021 23",30
"1931","08/06/2021 24",37
"1932","08/08/2021 01",9
"1933","08/08/2021 02",9
"1934","08/08/2021 03",9
"1935","08/08/2021 04",10
"1936","08/08/2021 05",10
"1937","08/08/2021 06",11
"1938","08/08/2021 07",16
"1939","08/08/2021 08",18
"1940","08/08/2021 09",13
"1941","08/08/2021 10",13
"1942","08/08/2021 11",15
"1943","08/08/2021 12",17
"1944","08/08/2021 13",16
"1945","08/08/2021 14",17
"1946","08/08/2021 15",18
"1947","08/08/2021 16",17
"1948","08/08/2021 17",23
"1949","08/08/2021 18",19
"1950","08/08/2021 19",22
"1951","08/08/2021 20",33
"1952","08/08/2021 21",30
"1953","08/08/2021 22",33
"1954","08/08/2021 23",39
"1955","08/08/2021 24",36
"1956","08/09/2021 01",27
"1957","08/09/2021 02",29
"1958","08/09/2021 03",28
"1959","08/09/2021 04",31
"1960","08/09/2021 05",32
"1961","08/09/2021 06",33
"1962","08/09/2021 07",29
"1963","08/09/2021 08",25
"1964","08/09/2021 09",27
"1965","08/09/2021 10",39
"1966","08/09/2021 11",41
"1967","08/09/2021 12",33
"1968","08/09/2021 13",28
"1969","08/09/2021 14",16
"1970","08/09/2021 15",13
"1971","08/09/2021 16",16
"1972","08/09/2021 17",20
"1973","08/09/2021 18",22
"1974","08/09/2021 19",23
"1975","08/09/2021 20",29
"1976","08/09/2021 21",23
"1977","08/09/2021 22",19
"1978","08/09/2021 23",19
"1979","08/09/2021 24",19
"1980","08/10/2021 01",17
"1981","08/10/2021 02",18
"1982","08/10/2021 03",17
"1983","08/10/2021 04",20
"1984","08/10/2021 05",27
"1985","08/10/2021 06",30
"1986","08/10/2021 07",35
"1987","08/10/2021 08",31
"1988","08/10/2021 09",28
"1989","08/10/2021 10",17
"1990","08/10/2021 14",13
"1991","08/10/2021 15",23
"1992","08/10/2021 16",26
"1993","08/10/2021 17",26
"1994","08/10/2021 18",23
"1995","08/10/2021 19",42
"1996","08/10/2021 20",23
"1997","08/10/2021 21",18
"1998","08/10/2021 22",19
"1999","08/10/2021 23",16
"2000","08/10/2021 24",17
"2001","08/11/2021 01",14
"2002","08/11/2021 02",20
"2003","08/11/2021 03",19
"2004","08/11/2021 04",23
"2005","08/11/2021 05",26
"2006","08/11/2021 06",26
"2007","08/11/2021 07",26
"2008","08/11/2021 08",28
"2009","08/11/2021 09",37
"2010","08/11/2021 10",42
"2011","08/11/2021 11",50
"2012","08/11/2021 12",29
"2013","08/11/2021 13",39
"2014","08/11/2021 14",32
"2015","08/11/2021 15",24
"2016","08/11/2021 16",24
"2017","08/11/2021 17",23
"2018","08/11/2021 18",33
"2019","08/11/2021 19",41
"2020","08/11/2021 20",31
"2021","08/11/2021 21",30
"2022","08/11/2021 22",23
"2023","08/11/2021 23",25
"2024","08/11/2021 24",26
"2025","08/12/2021 01",35
"2026","08/12/2021 02",50
"2027","08/12/2021 03",44
"2028","08/12/2021 04",48
"2029","08/12/2021 05",50
"2030","08/12/2021 06",51
"2031","08/12/2021 07",48
"2032","08/12/2021 08",48
"2033","08/12/2021 09",51.5047978621496
"2034","08/12/2021 10",51.5047978621496
"2035","08/12/2021 11",51.5047978621496
"2036","08/12/2021 12",38
"2037","08/12/2021 13",37
"2038","08/12/2021 14",30
"2039","08/12/2021 15",25
"2040","08/12/2021 16",27
"2041","08/12/2021 17",28
"2042","08/12/2021 18",51.5047978621496
"2043","08/12/2021 19",51.5047978621496
"2044","08/12/2021 20",51.5047978621496
"2045","08/12/2021 21",51.5047978621496
"2046","08/12/2021 22",51.5047978621496
"2047","08/12/2021 23",46
"2048","08/12/2021 24",51.5047978621496
"2049","09/01/2021 01",36
"2050","09/01/2021 02",29
"2051","09/01/2021 03",34
"2052","09/01/2021 04",36
"2053","09/01/2021 05",31
"2054","09/01/2021 06",30
"2055","09/01/2021 07",37
"2056","09/01/2021 08",36
"2057","09/01/2021 09",41
"2058","09/01/2021 10",51.5047978621496
"2059","09/01/2021 11",51.5047978621496
"2060","09/01/2021 12",45
"2061","09/01/2021 13",23
"2062","09/01/2021 14",18
"2063","09/01/2021 15",14
"2064","09/01/2021 16",11
"2065","09/01/2021 17",9
"2066","09/01/2021 18",14
"2067","09/01/2021 19",22
"2068","09/01/2021 20",27
"2069","09/01/2021 21",35
"2070","09/01/2021 22",37
"2071","09/01/2021 23",34
"2072","09/01/2021 24",31
"2073","09/02/2021 01",22
"2074","09/02/2021 02",25
"2075","09/02/2021 03",26
"2076","09/02/2021 04",34
"2077","09/02/2021 05",27
"2078","09/02/2021 06",40
"2079","09/02/2021 07",44
"2080","09/02/2021 08",42
"2081","09/02/2021 09",44
"2082","09/02/2021 10",51.5047978621496
"2083","09/02/2021 11",51.5047978621496
"2084","09/02/2021 12",45
"2085","09/02/2021 13",26
"2086","09/02/2021 14",18
"2087","09/02/2021 15",19
"2088","09/02/2021 16",17
"2089","09/02/2021 17",20
"2090","09/02/2021 18",17
"2091","09/02/2021 19",19
"2092","09/02/2021 20",25
"2093","09/02/2021 21",18
"2094","09/02/2021 22",15
"2095","09/02/2021 23",20
"2096","09/02/2021 24",19
"2097","09/03/2021 04",19
"2098","09/03/2021 05",17
"2099","09/03/2021 06",20
"2100","09/03/2021 07",26
"2101","09/03/2021 08",25
"2102","09/03/2021 09",27
"2103","09/03/2021 10",39
"2104","09/03/2021 11",47
"2105","09/03/2021 12",51.5047978621496
"2106","09/03/2021 13",31
"2107","09/03/2021 14",21
"2108","09/03/2021 15",13
"2109","09/03/2021 16",11
"2110","09/03/2021 17",15
"2111","09/03/2021 18",19
"2112","09/03/2021 19",20
"2113","09/03/2021 20",23
"2114","09/03/2021 21",22
"2115","09/03/2021 22",33
"2116","09/03/2021 23",38
"2117","09/03/2021 24",33
"2118","09/04/2021 01",15
"2119","09/04/2021 02",30
"2120","09/04/2021 03",26
"2121","09/04/2021 04",36
"2122","09/04/2021 05",36
"2123","09/04/2021 06",50
"2124","09/04/2021 07",51.5047978621496
"2125","09/04/2021 08",51
"2126","09/04/2021 09",42
"2127","09/04/2021 10",44
"2128","09/04/2021 11",34
"2129","09/04/2021 12",33
"2130","09/04/2021 13",21
"2131","09/04/2021 14",21
"2132","09/04/2021 15",22
"2133","09/04/2021 16",23
"2134","09/04/2021 17",15
"2135","09/04/2021 18",22
"2136","09/04/2021 19",37
"2137","09/04/2021 20",23
"2138","09/04/2021 21",22
"2139","09/04/2021 22",30
"2140","09/04/2021 23",29
"2141","09/04/2021 24",47
"2142","09/05/2021 01",35
"2143","09/05/2021 02",31
"2144","09/05/2021 03",18
"2145","09/05/2021 04",23
"2146","09/05/2021 05",31
"2147","09/05/2021 06",35
"2148","09/05/2021 07",31
"2149","09/05/2021 08",25
"2150","09/05/2021 09",31
"2151","09/05/2021 10",23
"2152","09/05/2021 11",24
"2153","09/05/2021 12",20
"2154","09/05/2021 13",12
"2155","09/05/2021 14",16
"2156","09/05/2021 15",18
"2157","09/05/2021 16",19
"2158","09/05/2021 17",27
"2159","09/05/2021 18",32
"2160","09/05/2021 19",26
"2161","09/05/2021 20",19
"2162","09/05/2021 21",12
"2163","09/05/2021 22",9
"2164","09/05/2021 23",14
"2165","09/05/2021 24",22
"2166","09/06/2021 01",28
"2167","09/06/2021 02",15
"2168","09/06/2021 03",16
"2169","09/06/2021 04",15
"2170","09/06/2021 05",19
"2171","09/06/2021 06",31
"2172","09/06/2021 07",31
"2173","09/06/2021 08",29
"2174","09/06/2021 09",35
"2175","09/06/2021 10",29
"2176","09/06/2021 11",30
"2177","09/06/2021 12",27
"2178","09/06/2021 13",22
"2179","09/06/2021 14",17
"2180","09/06/2021 15",14
"2181","09/06/2021 16",15
"2182","09/06/2021 17",20
"2183","09/06/2021 18",21
"2184","09/06/2021 19",18
"2185","09/06/2021 20",25
"2186","09/06/2021 21",34
"2187","09/06/2021 22",31
"2188","09/06/2021 23",18
"2189","09/06/2021 24",11
"2190","09/08/2021 01",31
"2191","09/08/2021 02",28
"2192","09/08/2021 03",27
"2193","09/08/2021 04",25
"2194","09/08/2021 05",22
"2195","09/08/2021 06",24
"2196","09/08/2021 07",24
"2197","09/08/2021 08",24
"2198","09/08/2021 09",25
"2199","09/08/2021 10",30
"2200","09/08/2021 11",33
"2201","09/08/2021 12",39
"2202","09/08/2021 13",33
"2203","09/08/2021 14",29
"2204","09/08/2021 15",19
"2205","09/08/2021 16",14
"2206","09/08/2021 17",17
"2207","09/08/2021 18",20
"2208","09/08/2021 19",21
"2209","09/08/2021 20",40
"2210","09/08/2021 21",28
"2211","09/08/2021 22",21
"2212","09/08/2021 23",20
"2213","09/08/2021 24",16
"2214","09/09/2021 01",17
"2215","09/09/2021 02",17
"2216","09/09/2021 03",13
"2217","09/09/2021 04",13
"2218","09/09/2021 05",14
"2219","09/09/2021 06",20
"2220","09/09/2021 07",28
"2221","09/09/2021 08",28
"2222","09/09/2021 09",21
"2223","09/09/2021 10",18
"2224","09/09/2021 11",18
"2225","09/09/2021 12",17
"2226","09/09/2021 13",15
"2227","09/09/2021 18",22
"2228","09/09/2021 19",19
"2229","09/09/2021 20",15
"2230","09/09/2021 21",15
"2231","09/09/2021 22",18
"2232","09/09/2021 23",18
"2233","09/09/2021 24",19
"2234","09/10/2021 01",17
"2235","09/10/2021 02",18
"2236","09/10/2021 03",18
"2237","09/10/2021 04",15
"2238","09/10/2021 05",14
"2239","09/10/2021 06",16
"2240","09/10/2021 07",19
"2241","09/10/2021 08",27
"2242","09/10/2021 09",24
"2243","09/10/2021 10",19
"2244","09/10/2021 11",18
"2245","09/10/2021 12",15
"2246","09/10/2021 13",15
"2247","09/10/2021 14",15
"2248","09/10/2021 15",14
"2249","09/10/2021 16",18
"2250","09/10/2021 17",13
"2251","09/10/2021 18",21
"2252","09/10/2021 19",19
"2253","09/10/2021 20",15
"2254","09/10/2021 21",17
"2255","09/10/2021 22",21
"2256","09/10/2021 23",16
"2257","09/10/2021 24",16
"2258","09/11/2021 01",32
"2259","09/11/2021 02",33
"2260","09/11/2021 03",31
"2261","09/11/2021 04",31
"2262","09/11/2021 05",33
"2263","09/11/2021 06",30
"2264","09/11/2021 07",30
"2265","09/11/2021 08",30
"2266","09/11/2021 09",37
"2267","09/11/2021 10",45
"2268","09/11/2021 11",51.5047978621496
"2269","09/11/2021 12",51.5047978621496
"2270","09/11/2021 13",38
"2271","09/11/2021 14",36
"2272","09/11/2021 15",26
"2273","09/11/2021 16",26
"2274","09/12/2021 01",41
"2275","09/12/2021 02",51.5047978621496
"2276","09/12/2021 03",51.5047978621496
"2277","09/12/2021 04",51.5047978621496
"2278","09/12/2021 05",51.5047978621496
"2279","09/12/2021 06",51.5047978621496
"2280","09/12/2021 07",51.5047978621496
"2281","09/12/2021 08",51.5047978621496
"2282","09/12/2021 09",51.5047978621496
"2283","09/12/2021 10",51.5047978621496
"2284","09/12/2021 11",51.5047978621496
"2285","09/12/2021 12",51.5047978621496
"2286","10/01/2021 01",22
"2287","10/01/2021 02",28
"2288","10/01/2021 03",31
"2289","10/01/2021 04",30
"2290","10/01/2021 05",30
"2291","10/01/2021 06",27
"2292","10/01/2021 07",18
"2293","10/01/2021 08",27
"2294","10/01/2021 09",29
"2295","10/01/2021 10",35
"2296","10/01/2021 11",20
"2297","10/01/2021 12",10
"2298","10/01/2021 13",6
"2299","10/01/2021 14",5
"2300","10/01/2021 15",7
"2301","10/01/2021 16",6
"2302","10/01/2021 17",7
"2303","10/01/2021 18",9
"2304","10/01/2021 19",15
"2305","10/01/2021 20",16
"2306","10/01/2021 21",20
"2307","10/01/2021 22",31
"2308","10/01/2021 23",34
"2309","10/01/2021 24",35
"2310","10/02/2021 01",19
"2311","10/02/2021 02",21
"2312","10/02/2021 03",21
"2313","10/02/2021 04",22
"2314","10/02/2021 05",32
"2315","10/02/2021 06",37
"2316","10/02/2021 07",36
"2317","10/02/2021 08",37
"2318","10/02/2021 09",39
"2319","10/02/2021 10",38
"2320","10/02/2021 11",36
"2321","10/02/2021 12",24
"2322","10/02/2021 13",22
"2323","10/02/2021 14",20
"2324","10/02/2021 15",20
"2325","10/02/2021 16",18
"2326","10/02/2021 17",40
"2327","10/02/2021 18",50
"2328","10/02/2021 19",39
"2329","10/02/2021 20",46
"2330","10/02/2021 21",49
"2331","10/02/2021 22",51.5047978621496
"2332","10/02/2021 23",28
"2333","10/02/2021 24",36
"2334","10/03/2021 01",37
"2335","10/03/2021 02",40
"2336","10/03/2021 03",40
"2337","10/03/2021 04",34
"2338","10/03/2021 05",30
"2339","10/03/2021 06",38
"2340","10/03/2021 07",41
"2341","10/03/2021 08",45
"2342","10/03/2021 09",51.5047978621496
"2343","10/03/2021 10",51.5047978621496
"2344","10/03/2021 11",51.5047978621496
"2345","10/03/2021 12",27
"2346","10/03/2021 13",23
"2347","10/03/2021 14",10
"2348","10/03/2021 15",9
"2349","10/03/2021 16",9
"2350","10/03/2021 17",11
"2351","10/03/2021 18",15
"2352","10/03/2021 19",25
"2353","10/03/2021 20",33
"2354","10/03/2021 21",51.5047978621496
"2355","10/03/2021 22",51
"2356","10/03/2021 23",33
"2357","10/03/2021 24",23
"2358","10/04/2021 01",36
"2359","10/04/2021 02",30
"2360","10/04/2021 03",20
"2361","10/04/2021 04",30
"2362","10/04/2021 05",26
"2363","10/04/2021 06",33
"2364","10/04/2021 07",46
"2365","10/04/2021 08",47
"2366","10/04/2021 09",51.5047978621496
"2367","10/04/2021 10",48
"2368","10/04/2021 11",29
"2369","10/04/2021 12",19
"2370","10/04/2021 13",12
"2371","10/04/2021 14",12
"2372","10/04/2021 15",13
"2373","10/04/2021 16",14
"2374","10/04/2021 17",16
"2375","10/04/2021 18",18
"2376","10/04/2021 19",17
"2377","10/04/2021 20",18
"2378","10/04/2021 21",24
"2379","10/04/2021 22",34
"2380","10/04/2021 23",43
"2381","10/04/2021 24",51.5047978621496
"2382","10/05/2021 01",14
"2383","10/05/2021 02",15
"2384","10/05/2021 03",13
"2385","10/05/2021 04",16
"2386","10/05/2021 05",22
"2387","10/05/2021 06",34
"2388","10/05/2021 07",28
"2389","10/05/2021 08",32
"2390","10/05/2021 09",20
"2391","10/05/2021 10",21
"2392","10/05/2021 11",24
"2393","10/05/2021 12",29
"2394","10/05/2021 13",27
"2395","10/05/2021 14",22
"2396","10/05/2021 15",17
"2397","10/05/2021 16",26
"2398","10/05/2021 17",20
"2399","10/05/2021 18",21
"2400","10/05/2021 19",17
"2401","10/05/2021 20",14
"2402","10/05/2021 21",14
"2403","10/05/2021 22",11
"2404","10/05/2021 23",11
"2405","10/05/2021 24",8
"2406","10/06/2021 01",15
"2407","10/06/2021 02",10
"2408","10/06/2021 03",9
"2409","10/06/2021 04",15
"2410","10/06/2021 05",19
"2411","10/06/2021 06",25
"2412","10/06/2021 07",26
"2413","10/06/2021 08",23
"2414","10/06/2021 09",20
"2415","10/06/2021 10",22
"2416","10/06/2021 11",21
"2417","10/06/2021 12",18
"2418","10/06/2021 13",14
"2419","10/06/2021 14",12
"2420","10/06/2021 15",13
"2421","10/06/2021 16",16
"2422","10/06/2021 17",17
"2423","10/06/2021 18",14
"2424","10/06/2021 19",17
"2425","10/06/2021 20",11
"2426","10/06/2021 21",14
"2427","10/06/2021 22",24
"2428","10/06/2021 23",24
"2429","10/06/2021 24",18
"2430","10/08/2021 01",13
"2431","10/08/2021 02",13
"2432","10/08/2021 03",19
"2433","10/08/2021 04",15
"2434","10/08/2021 05",18
"2435","10/08/2021 06",17
"2436","10/08/2021 07",23
"2437","10/08/2021 08",23
"2438","10/08/2021 09",21
"2439","10/08/2021 10",27
"2440","10/08/2021 11",24
"2441","10/08/2021 12",25
"2442","10/08/2021 13",21
"2443","10/08/2021 14",17
"2444","10/08/2021 15",11
"2445","10/08/2021 16",13
"2446","10/08/2021 17",18
"2447","10/08/2021 18",17
"2448","10/08/2021 19",19
"2449","10/08/2021 20",18
"2450","10/08/2021 21",16
"2451","10/08/2021 22",14
"2452","10/08/2021 23",14
"2453","10/08/2021 24",13
"2454","10/09/2021 01",15
"2455","10/09/2021 02",15
"2456","10/09/2021 03",15
"2457","10/09/2021 04",20
"2458","10/09/2021 05",27
"2459","10/09/2021 06",29
"2460","10/09/2021 07",30
"2461","10/09/2021 08",33
"2462","10/09/2021 09",25
"2463","10/09/2021 10",21
"2464","10/09/2021 11",19
"2465","10/09/2021 12",16
"2466","10/09/2021 13",14
"2467","10/09/2021 14",12
"2468","10/09/2021 15",12
"2469","10/09/2021 16",17
"2470","10/09/2021 17",20
"2471","10/09/2021 18",20
"2472","10/09/2021 19",17
"2473","10/09/2021 20",16
"2474","10/09/2021 21",18
"2475","10/09/2021 22",15
"2476","10/09/2021 23",17
"2477","10/09/2021 24",12
"2478","10/10/2021 01",21
"2479","10/10/2021 02",22
"2480","10/10/2021 03",25
"2481","10/10/2021 04",22
"2482","10/10/2021 05",19
"2483","10/10/2021 06",20
"2484","10/10/2021 07",21
"2485","10/10/2021 08",21
"2486","10/10/2021 09",23
"2487","10/10/2021 10",20
"2488","10/10/2021 11",21
"2489","10/10/2021 12",18
"2490","10/10/2021 13",12
"2491","10/10/2021 14",8
"2492","10/10/2021 15",8
"2493","10/10/2021 16",7
"2494","10/10/2021 17",13
"2495","10/10/2021 18",21
"2496","10/10/2021 19",32
"2497","10/10/2021 20",27
"2498","10/10/2021 21",38
"2499","10/10/2021 22",36
"2500","10/10/2021 23",36
"2501","10/10/2021 24",34
"2502","10/12/2021 04",51.5047978621496
"2503","10/12/2021 05",51.5047978621496
"2504","10/12/2021 06",51.5047978621496
"2505","10/12/2021 07",51.5047978621496
"2506","10/12/2021 08",51.5047978621496
"2507","10/12/2021 09",51.5047978621496
"2508","10/12/2021 10",51.5047978621496
"2509","10/12/2021 11",51.5047978621496
"2510","10/12/2021 12",35
"2511","10/12/2021 13",31
"2512","10/12/2021 14",32
"2513","10/12/2021 15",34
"2514","10/12/2021 16",34
"2515","10/12/2021 17",35
"2516","10/12/2021 18",51.5047978621496
"2517","10/12/2021 19",51.5047978621496
"2518","10/12/2021 20",51.5047978621496
"2519","10/12/2021 21",51.5047978621496
"2520","10/12/2021 22",51.5047978621496
"2521","10/12/2021 23",51.5047978621496
"2522","10/12/2021 24",51.5047978621496
"2523","11/01/2021 01",29
"2524","11/01/2021 02",23
"2525","11/01/2021 03",20
"2526","11/01/2021 04",17
"2527","11/01/2021 05",17
"2528","11/01/2021 06",22
"2529","11/01/2021 07",34
"2530","11/01/2021 08",32
"2531","11/01/2021 09",34
"2532","11/01/2021 10",29
"2533","11/01/2021 11",33
"2534","11/01/2021 12",37
"2535","11/01/2021 13",34
"2536","11/01/2021 14",10
"2537","11/01/2021 15",12
"2538","11/01/2021 16",11
"2539","11/01/2021 17",12
"2540","11/01/2021 18",12
"2541","11/01/2021 19",26
"2542","11/01/2021 20",31
"2543","11/01/2021 21",31
"2544","11/01/2021 22",28
"2545","11/01/2021 23",35
"2546","11/01/2021 24",34
"2547","11/02/2021 01",38
"2548","11/02/2021 02",42
"2549","11/02/2021 03",36
"2550","11/02/2021 04",36
"2551","11/02/2021 05",37
"2552","11/02/2021 06",39
"2553","11/02/2021 07",39
"2554","11/02/2021 08",39
"2555","11/02/2021 09",45
"2556","11/02/2021 10",46
"2557","11/02/2021 11",21
"2558","11/02/2021 12",9
"2559","11/02/2021 13",10
"2560","11/02/2021 14",9
"2561","11/02/2021 15",9
"2562","11/02/2021 16",11
"2563","11/02/2021 17",9
"2564","11/02/2021 18",11
"2565","11/02/2021 19",18
"2566","11/02/2021 20",22
"2567","11/02/2021 21",22
"2568","11/02/2021 22",29
"2569","11/02/2021 23",30
"2570","11/02/2021 24",33
"2571","11/03/2021 01",33
"2572","11/03/2021 02",27
"2573","11/03/2021 03",30
"2574","11/03/2021 04",29
"2575","11/03/2021 05",35
"2576","11/03/2021 06",38
"2577","11/03/2021 07",41
"2578","11/03/2021 08",43
"2579","11/03/2021 09",48
"2580","11/03/2021 10",42
"2581","11/03/2021 11",51.5047978621496
"2582","11/03/2021 12",40
"2583","11/03/2021 13",30
"2584","11/03/2021 14",21
"2585","11/03/2021 15",18
"2586","11/03/2021 16",15
"2587","11/03/2021 17",17
"2588","11/03/2021 18",22
"2589","11/03/2021 19",37
"2590","11/03/2021 20",25
"2591","11/03/2021 21",23
"2592","11/03/2021 22",32
"2593","11/03/2021 23",33
"2594","11/03/2021 24",29
"2595","11/04/2021 01",51.5047978621496
